"draw","parameter","value"
258,"theta1",0.0001731
258,"ub",4.27087
258,"uc",6.14741
258,"uv",10.7743
258,"ud",7.55507
259,"ib0",37.39065
259,"ic0",18.93848
259,"id0",0.7859427
259,"iv0",0.9581462
259,"pcm",0.746247
259,"pvm",0.220838
259,"ad",8272.02
259,"av",2089.82
259,"b0",0.649981
259,"cd",0.0783535
259,"cu",0.009893
259,"rm",70.3513
259,"d1",0.154608
259,"du",115.441
259,"rvm",72.8451
259,"fd0",0.0029576
259,"fv0",0.181501
259,"gamma1",3.04317
259,"gammad",4.13309
259,"gammav",3.72272
259,"kb",2.78769
259,"kc",2.16889
259,"kd",0.317308
259,"kv",1.73348
259,"phi0",0.806005
259,"phi1",0.00085
259,"theta0",0.051734
259,"theta1",2.58e-05
259,"ub",10.2851
259,"uc",6.94191
259,"uv",8.46481
259,"ud",8.12205
260,"ib0",23.53026
260,"ic0",16.18105
260,"id0",2.580781
260,"iv0",1.905483
260,"pcm",0.964152
260,"pvm",0.182011
260,"ad",8930.85
260,"av",2803.74
260,"b0",0.681015
260,"cd",0.0766765
260,"cu",0.0092246
260,"rm",67.3536
260,"d1",0.171201
260,"du",104.113
260,"rvm",70.1342
260,"fd0",0.0022727
260,"fv0",0.273438
260,"gamma1",2.93309
260,"gammad",4.20023
260,"gammav",4.3619
260,"kb",3.0741
260,"kc",2.18921
260,"kd",0.535196
260,"kv",2.18777
260,"phi0",0.694181
260,"phi1",0.0005155
260,"theta0",0.0837042
260,"theta1",4.84e-05
260,"ub",8.80545
260,"uc",9.07806
260,"uv",1.67499
260,"ud",12.2401
261,"ib0",84.87838
261,"ic0",16.36705
261,"id0",3.1346
261,"iv0",1.461249
261,"pcm",0.768928
261,"pvm",0.26154
261,"ad",8197.39
261,"av",2329.75
261,"b0",0.519472
261,"cd",0.0699631
261,"cu",0.0036172
261,"rm",64.9551
261,"d1",0.204123
261,"du",98.0689
261,"rvm",79.5942
261,"fd0",0.0038841
261,"fv0",0.0441769
261,"gamma1",1.32172
261,"gammad",4.89509
261,"gammav",2.01499
261,"kb",2.54039
261,"kc",2.25625
261,"kd",0.68682
261,"kv",2.00312
261,"phi0",0.941244
261,"phi1",0.0004185
261,"theta0",0.0367618
261,"theta1",0.0001154
261,"ub",2.77953
261,"uc",6.88335
261,"uv",4.11828
261,"ud",11.0864
262,"ib0",76.14409
262,"ic0",14.31961
262,"id0",0.9955292
262,"iv0",0.7873299
262,"pcm",0.67354
262,"pvm",0.136558
262,"ad",7749.32
262,"av",2738.62
262,"b0",0.504304
262,"cd",0.0875012
262,"cu",0.0041656
262,"rm",71.6838
262,"d1",0.134638
262,"du",98.9504
262,"rvm",102.133
262,"fd0",0.0190111
262,"fv0",0.184061
262,"gamma1",1.22517
262,"gammad",5.06035
262,"gammav",3.99081
262,"kb",1.69074
262,"kc",2.5514
262,"kd",0.420885
262,"kv",1.94146
262,"phi0",0.864772
262,"phi1",0.0024056
262,"theta0",0.0900074
262,"theta1",4.14e-05
262,"ub",7.15983
262,"uc",11.6174
262,"uv",16.404
262,"ud",10.0237
263,"ib0",29.45653
263,"ic0",21.59723
263,"id0",1.610744
263,"iv0",1.573081
263,"pcm",0.789941
263,"pvm",0.320608
263,"ad",8770.52
263,"av",1682.01
263,"b0",0.662364
263,"cd",0.062575
263,"cu",0.0090562
263,"rm",64.846
263,"d1",0.190999
263,"du",96.5776
263,"rvm",65.1706
263,"fd0",0.0005963
263,"fv0",0.114973
263,"gamma1",1.61545
263,"gammad",4.36386
263,"gammav",2.59214
263,"kb",2.78279
263,"kc",2.65194
263,"kd",0.556984
263,"kv",1.66119
263,"phi0",0.780681
263,"phi1",0.0018185
263,"theta0",0.0424943
263,"theta1",0.0001247
263,"ub",25.8764
263,"uc",5.25646
263,"uv",5.21359
263,"ud",10.2349
264,"ib0",84.2407
264,"ic0",23.95296
264,"id0",0.1995708
264,"iv0",0.7356759
264,"pcm",0.665276
264,"pvm",0.246829
264,"ad",8707.43
264,"av",2572.58
264,"b0",0.594664
264,"cd",0.0896274
264,"cu",0.0005545
264,"rm",74.7707
264,"d1",0.209239
264,"du",93.4696
264,"rvm",56.466
264,"fd0",0.0025811
264,"fv0",0.0473408
264,"gamma1",1.24256
264,"gammad",4.73779
264,"gammav",2.63529
264,"kb",2.2045
264,"kc",2.46923
264,"kd",0.381461
264,"kv",1.49948
264,"phi0",0.598479
264,"phi1",0.0001521
264,"theta0",0.0555317
264,"theta1",0.0001699
264,"ub",6.21762
264,"uc",3.97307
264,"uv",3.16816
264,"ud",7.55834
265,"ib0",40.07053
265,"ic0",13.32378
265,"id0",1.799075
265,"iv0",0.8475969
265,"pcm",0.841045
265,"pvm",0.267222
265,"ad",8041.11
265,"av",2296.07
265,"b0",0.430061
265,"cd",0.0599069
265,"cu",0.0014685
265,"rm",66.8791
265,"d1",0.155713
265,"du",119.362
265,"rvm",63.9621
265,"fd0",0.0146092
265,"fv0",0.14118
265,"gamma1",0.848938
265,"gammad",5.02076
265,"gammav",3.06164
265,"kb",1.85012
265,"kc",2.54914
265,"kd",0.543119
265,"kv",1.79275
265,"phi0",0.871369
265,"phi1",0.0007745
265,"theta0",0.090822
265,"theta1",8.22e-05
265,"ub",4.06363
265,"uc",7.15387
265,"uv",6.93876
265,"ud",11.0217
266,"ib0",32.03749
266,"ic0",17.75925
266,"id0",0.9224797
266,"iv0",1.029886
266,"pcm",0.986835
266,"pvm",0.205538
266,"ad",7611.7
266,"av",2344.43
266,"b0",0.481527
266,"cd",0.0519024
266,"cu",0.0107428
266,"rm",65.0898
266,"d1",0.170357
266,"du",106.349
266,"rvm",60.0985
266,"fd0",0.0038266
266,"fv0",0.177984
266,"gamma1",7.36771
266,"gammad",5.9939
266,"gammav",3.35949
266,"kb",2.88842
266,"kc",2.7166
266,"kd",0.446856
266,"kv",1.94294
266,"phi0",0.623601
266,"phi1",0.0012486
266,"theta0",0.080422
266,"theta1",0.0001136
266,"ub",9.10356
266,"uc",8.14705
266,"uv",5.24133
266,"ud",8.4096
267,"ib0",38.16264
267,"ic0",17.02301
267,"id0",2.468766
267,"iv0",1.160068
267,"pcm",0.694803
267,"pvm",0.151589
267,"ad",8349.32
267,"av",2179.28
267,"b0",0.618631
267,"cd",0.0574839
267,"cu",0.0050478
267,"rm",70.8468
267,"d1",0.159659
267,"du",108.927
267,"rvm",92.5869
267,"fd0",0.0140547
267,"fv0",0.429349
267,"gamma1",1.10052
267,"gammad",5.65696
267,"gammav",4.37438
267,"kb",1.94769
267,"kc",2.39801
267,"kd",0.618971
267,"kv",2.35458
267,"phi0",0.88293
267,"phi1",0.0005036
267,"theta0",0.116276
267,"theta1",8.34e-05
267,"ub",7.95245
267,"uc",5.97398
267,"uv",26.9105
267,"ud",8.22473
268,"ib0",77.37688
268,"ic0",19.56506
268,"id0",1.459949
268,"iv0",0.988731
268,"pcm",0.838787
268,"pvm",0.217615
268,"ad",8307.72
268,"av",2591.55
268,"b0",0.521391
268,"cd",0.0304139
268,"cu",0.0062496
268,"rm",66.545
268,"d1",0.145628
268,"du",115.756
268,"rvm",65.8954
268,"fd0",0.0183061
268,"fv0",0.185239
268,"gamma1",0.608288
268,"gammad",5.13918
268,"gammav",4.22492
268,"kb",1.22045
268,"kc",2.22606
268,"kd",0.595863
268,"kv",1.96842
268,"phi0",0.544221
268,"phi1",0.0004336
268,"theta0",0.0938164
268,"theta1",0.0001408
268,"ub",4.31512
268,"uc",6.98353
268,"uv",16.2325
268,"ud",16.1758
269,"ib0",59.28366
269,"ic0",19.91385
269,"id0",1.409546
269,"iv0",1.114706
269,"pcm",0.865534
269,"pvm",0.158957
269,"ad",8041.81
269,"av",4610.65
269,"b0",0.673848
269,"cd",0.0648283
269,"cu",0.016017
269,"rm",64.0366
269,"d1",0.154528
269,"du",77.692
269,"rvm",79.2342
269,"fd0",0.008933
269,"fv0",0.0850656
269,"gamma1",4.29471
269,"gammad",4.44678
269,"gammav",1.43667
269,"kb",2.72601
269,"kc",2.28249
269,"kd",0.428256
269,"kv",2.15648
269,"phi0",0.70115
269,"phi1",0.0006867
269,"theta0",0.111162
269,"theta1",9.47e-05
269,"ub",10.5957
269,"uc",7.29642
269,"uv",1.46034
269,"ud",5.2458
270,"ib0",30.5212
270,"ic0",13.21771
270,"id0",0.1291346
270,"iv0",1.731841
270,"pcm",0.853789
270,"pvm",0.182904
270,"ad",8461.75
270,"av",2525.45
270,"b0",0.461344
270,"cd",0.0839911
270,"cu",0.0068033
270,"rm",70.3988
270,"d1",0.112465
270,"du",110.839
270,"rvm",68.743
270,"fd0",0.0126976
270,"fv0",0.210493
270,"gamma1",1.1841
270,"gammad",4.70529
270,"gammav",2.51889
270,"kb",2.1937
270,"kc",2.25819
270,"kd",0.328288
270,"kv",2.18418
270,"phi0",0.924701
270,"phi1",0.0007743
270,"theta0",0.0787109
270,"theta1",0.0001966
270,"ub",12.3985
270,"uc",8.55726
270,"uv",2.80446
270,"ud",15.7761
271,"ib0",39.9836
271,"ic0",18.66096
271,"id0",1.263966
271,"iv0",1.629846
271,"pcm",0.929642
271,"pvm",0.210907
271,"ad",8161.57
271,"av",2696.85
271,"b0",0.529868
271,"cd",0.0509339
271,"cu",0.0041494
271,"rm",59.7138
271,"d1",0.189104
271,"du",105.912
271,"rvm",74.3765
271,"fd0",0.0030666
271,"fv0",0.176684
271,"gamma1",1.7046
271,"gammad",5.48481
271,"gammav",2.01817
271,"kb",2.66308
271,"kc",2.27838
271,"kd",0.525689
271,"kv",2.03686
271,"phi0",0.892114
271,"phi1",0.0003724
271,"theta0",0.0602777
271,"theta1",0.0001271
271,"ub",8.96383
271,"uc",5.72092
271,"uv",5.94182
271,"ud",2.72355
272,"ib0",33.53394
272,"ic0",16.36917
272,"id0",3.148913
272,"iv0",1.450598
272,"pcm",0.774195
272,"pvm",0.182358
272,"ad",8364.39
272,"av",3306.25
272,"b0",0.49812
272,"cd",0.0648871
272,"cu",0.001453
272,"rm",69.5563
272,"d1",0.135474
272,"du",113.099
272,"rvm",98.2292
272,"fd0",0.0057577
272,"fv0",0.335163
272,"gamma1",1.81909
272,"gammad",4.36233
272,"gammav",1.43697
272,"kb",1.971
272,"kc",2.5849
272,"kd",0.58811
272,"kv",2.33751
272,"phi0",0.78699
272,"phi1",0.0012513
272,"theta0",0.0894696
272,"theta1",0.0001002
272,"ub",7.77878
272,"uc",11.056
272,"uv",24.9655
272,"ud",12.3403
273,"ib0",23.15702
273,"ic0",17.26653
273,"id0",0.8087969
273,"iv0",1.130297
273,"pcm",0.84844
273,"pvm",0.322889
273,"ad",7118.78
273,"av",2272.33
273,"b0",0.591876
273,"cd",0.073153
273,"cu",0.0013482
273,"rm",70.4173
273,"d1",0.0906756
273,"du",102.84
273,"rvm",61.2678
273,"fd0",0.0138957
273,"fv0",0.136165
273,"gamma1",0.781988
273,"gammad",4.89618
273,"gammav",2.78087
273,"kb",2.7916
273,"kc",2.55154
273,"kd",0.332217
273,"kv",1.83163
273,"phi0",0.791676
273,"phi1",0.0011272
273,"theta0",0.0661823
273,"theta1",7.62e-05
273,"ub",9.75386
273,"uc",6.53902
273,"uv",4.63807
273,"ud",3.6681
274,"ib0",21.67242
274,"ic0",25.57027
274,"id0",0.9599805
274,"iv0",2.151179
274,"pcm",0.877053
274,"pvm",0.172535
274,"ad",8241.42
274,"av",2498.83
274,"b0",0.725179
274,"cd",0.059191
274,"cu",0.0017348
274,"rm",65.7762
274,"d1",0.166223
274,"du",102.384
274,"rvm",88.0953
274,"fd0",0.0092589
274,"fv0",0.84085
274,"gamma1",1.387
274,"gammad",4.38303
274,"gammav",1.45994
274,"kb",2.46746
274,"kc",2.54659
274,"kd",0.345184
274,"kv",2.51881
274,"phi0",0.763094
274,"phi1",8.81e-05
274,"theta0",0.0810619
274,"theta1",6.87e-05
274,"ub",18.325
274,"uc",4.62003
274,"uv",19.6264
274,"ud",9.92716
275,"ib0",68.26675
275,"ic0",26.35982
275,"id0",3.069182
275,"iv0",1.561603
275,"pcm",0.835796
275,"pvm",0.155951
275,"ad",8282.04
275,"av",2857.77
275,"b0",0.78129
275,"cd",0.0985136
275,"cu",0.0042843
275,"rm",67.698
275,"d1",0.222705
275,"du",107.764
275,"rvm",98.4794
275,"fd0",0.0073617
275,"fv0",0.21299
275,"gamma1",1.0915
275,"gammad",4.60209
275,"gammav",3.11516
275,"kb",1.86724
275,"kc",2.5669
275,"kd",0.667805
275,"kv",2.28668
275,"phi0",0.936205
275,"phi1",0.0006049
275,"theta0",0.0482097
275,"theta1",0.0001119
275,"ub",4.62524
275,"uc",5.27912
275,"uv",23.7286
275,"ud",8.72906
276,"ib0",38.09935
276,"ic0",13.65089
276,"id0",0.7794197
276,"iv0",1.348127
276,"pcm",0.863337
276,"pvm",0.153807
276,"ad",8046.64
276,"av",3131.88
276,"b0",0.514905
276,"cd",0.0533142
276,"cu",0.0039323
276,"rm",63.4632
276,"d1",0.10125
276,"du",82.6631
276,"rvm",97.6235
276,"fd0",0.0061972
276,"fv0",0.0899276
276,"gamma1",1.57158
276,"gammad",4.05942
276,"gammav",2.63454
276,"kb",1.41227
276,"kc",2.00532
276,"kd",0.359331
276,"kv",2.0526
276,"phi0",0.783756
276,"phi1",0.000365
276,"theta0",0.0599282
276,"theta1",0.0002677
276,"ub",7.06818
276,"uc",5.63714
276,"uv",6.81636
276,"ud",15.6713
277,"ib0",52.23092
277,"ic0",14.84767
277,"id0",1.379371
277,"iv0",0.6839043
277,"pcm",0.60244
277,"pvm",0.338738
277,"ad",8049.29
277,"av",2898.68
277,"b0",0.593735
277,"cd",0.0643014
277,"cu",0.0034307
277,"rm",75.1689
277,"d1",0.231584
277,"du",121.459
277,"rvm",57.2105
277,"fd0",0.0016859
277,"fv0",0.0498367
277,"gamma1",2.15445
277,"gammad",5.37704
277,"gammav",3.27088
277,"kb",2.46376
277,"kc",1.99644
277,"kd",0.504362
277,"kv",1.623
277,"phi0",0.754986
277,"phi1",0.0001136
277,"theta0",0.0517537
277,"theta1",0.0001154
277,"ub",5.43899
277,"uc",3.57554
277,"uv",6.09002
277,"ud",9.1825
278,"ib0",41.4516
278,"ic0",16.21631
278,"id0",2.528057
278,"iv0",1.234434
278,"pcm",0.659408
278,"pvm",0.180652
278,"ad",8110.8
278,"av",2659.97
278,"b0",0.541134
278,"cd",0.0787849
278,"cu",0.0192417
278,"rm",76.4917
278,"d1",0.186546
278,"du",105.296
278,"rvm",84.3287
278,"fd0",0.0007908
278,"fv0",0.239922
278,"gamma1",5.4865
278,"gammad",4.46234
278,"gammav",2.27772
278,"kb",2.00769
278,"kc",2.27307
278,"kd",0.593008
278,"kv",2.18821
278,"phi0",0.814431
278,"phi1",0.0001213
278,"theta0",0.0785194
278,"theta1",0.0002092
278,"ub",5.66319
278,"uc",6.63899
278,"uv",37.5639
278,"ud",10.667
279,"ib0",19.55231
279,"ic0",16.87361
279,"id0",3.863868
279,"iv0",0.7690067
279,"pcm",0.804558
279,"pvm",0.158577
279,"ad",7935.79
279,"av",2401.22
279,"b0",0.593476
279,"cd",0.0444402
279,"cu",0.0027441
279,"rm",72.3909
279,"d1",0.227315
279,"du",102.092
279,"rvm",98.9867
279,"fd0",0.0012905
279,"fv0",0.243198
279,"gamma1",1.36751
279,"gammad",5.41817
279,"gammav",4.29463
279,"kb",2.47355
279,"kc",2.52315
279,"kd",0.863884
279,"kv",2.37101
279,"phi0",0.622314
279,"phi1",0.0002668
279,"theta0",0.0983378
279,"theta1",6.91e-05
279,"ub",12.9626
279,"uc",8.77747
279,"uv",43.1831
279,"ud",6.62444
280,"ib0",41.09736
280,"ic0",19.05174
280,"id0",1.517337
280,"iv0",1.380471
280,"pcm",0.604018
280,"pvm",0.263591
280,"ad",8063.29
280,"av",2327.56
280,"b0",0.501047
280,"cd",0.0690625
280,"cu",0.0035301
280,"rm",79.4025
280,"d1",0.194992
280,"du",115.958
280,"rvm",60.7886
280,"fd0",0.0027771
280,"fv0",0.164854
280,"gamma1",1.2629
280,"gammad",5.63999
280,"gammav",2.78011
280,"kb",2.59863
280,"kc",2.45606
280,"kd",0.535365
280,"kv",1.9719
280,"phi0",0.731164
280,"phi1",0.0012139
280,"theta0",0.0433686
280,"theta1",0.0002764
280,"ub",9.24039
280,"uc",6.3542
280,"uv",11.4941
280,"ud",14.4802
281,"ib0",46.39311
281,"ic0",26.53963
281,"id0",3.058282
281,"iv0",2.018231
281,"pcm",0.955178
281,"pvm",0.146451
281,"ad",8051.43
281,"av",3276.08
281,"b0",0.858154
281,"cd",0.0474258
281,"cu",0.0067117
281,"rm",64.993
281,"d1",0.118138
281,"du",98.1991
281,"rvm",71.836
281,"fd0",0.0038525
281,"fv0",0.363791
281,"gamma1",1.33784
281,"gammad",3.84579
281,"gammav",3.9645
281,"kb",2.30216
281,"kc",2.75646
281,"kd",0.385427
281,"kv",2.27753
281,"phi0",0.622632
281,"phi1",0.0016575
281,"theta0",0.103011
281,"theta1",4.98e-05
281,"ub",6.66434
281,"uc",4.13853
281,"uv",0.345276
281,"ud",10.9866
282,"ib0",96.57079
282,"ic0",15.60922
282,"id0",0.8084701
282,"iv0",0.849875
282,"pcm",0.900224
282,"pvm",0.279205
282,"ad",8070.39
282,"av",1965.62
282,"b0",0.468224
282,"cd",0.112162
282,"cu",0.0092574
282,"rm",59.4574
282,"d1",0.117661
282,"du",101.26
282,"rvm",60.9473
282,"fd0",0.0068905
282,"fv0",0.0620249
282,"gamma1",1.4711
282,"gammad",3.90709
282,"gammav",2.25727
282,"kb",1.96349
282,"kc",2.14098
282,"kd",0.388942
282,"kv",1.65087
282,"phi0",0.931335
282,"phi1",0.0014884
282,"theta0",0.0737181
282,"theta1",0.0001036
282,"ub",2.65831
282,"uc",9.36699
282,"uv",0.594653
282,"ud",5.55422
283,"ib0",24.87856
283,"ic0",18.92238
283,"id0",9.614831
283,"iv0",1.469337
283,"pcm",0.756915
283,"pvm",0.15378
283,"ad",8617.86
283,"av",2248.6
283,"b0",0.674423
283,"cd",0.060259
283,"cu",0.0002737
283,"rm",72.386
283,"d1",0.147568
283,"du",122.376
283,"rvm",87.8055
283,"fd0",0.0130465
283,"fv0",0.261928
283,"gamma1",1.10021
283,"gammad",4.76909
283,"gammav",4.14489
283,"kb",2.72326
283,"kc",2.48078
283,"kd",0.787806
283,"kv",2.22981
283,"phi0",0.782636
283,"phi1",0.000719
283,"theta0",0.0741477
283,"theta1",4.81e-05
283,"ub",11.2338
283,"uc",8.41614
283,"uv",11.8275
283,"ud",17.54
284,"ib0",34.39129
284,"ic0",21.0894
284,"id0",0.4830459
284,"iv0",0.6537123
284,"pcm",0.870385
284,"pvm",0.220706
284,"ad",8359.96
284,"av",2977.83
284,"b0",0.600565
284,"cd",0.0638059
284,"cu",0.0029066
284,"rm",68.7975
284,"d1",0.14774
284,"du",116.799
284,"rvm",79.4252
284,"fd0",0.0015293
284,"fv0",0.0844769
284,"gamma1",1.30152
284,"gammad",4.53996
284,"gammav",3.44413
284,"kb",2.50328
284,"kc",2.32969
284,"kd",0.414731
284,"kv",1.72761
284,"phi0",0.7835
284,"phi1",0.0006279
284,"theta0",0.0686236
284,"theta1",6.64e-05
284,"ub",5.65112
284,"uc",7.91598
284,"uv",9.45378
284,"ud",13.2557
285,"ib0",47.39877
285,"ic0",19.26521
285,"id0",1.492142
285,"iv0",0.401876
285,"pcm",0.690549
285,"pvm",0.146705
285,"ad",9111.15
285,"av",2717.07
285,"b0",0.673423
285,"cd",0.0590773
285,"cu",0.0087451
285,"rm",67.1345
285,"d1",0.182162
285,"du",69.5898
285,"rvm",74.8907
285,"fd0",0.0134135
285,"fv0",0.078015
285,"gamma1",2.9925
285,"gammad",4.76834
285,"gammav",2.96558
285,"kb",1.79201
285,"kc",2.12572
285,"kd",0.579247
285,"kv",1.73185
285,"phi0",0.796183
285,"phi1",0.0001514
285,"theta0",0.13698
285,"theta1",7.76e-05
285,"ub",5.75255
285,"uc",5.32185
285,"uv",5.71798
285,"ud",8.25812
286,"ib0",71.26482
286,"ic0",20.89789
286,"id0",2.229183
286,"iv0",1.093923
286,"pcm",0.967945
286,"pvm",0.1944
286,"ad",7955.96
286,"av",2352.85
286,"b0",0.674375
286,"cd",0.0567039
286,"cu",0.0068074
286,"rm",56.5725
286,"d1",0.136956
286,"du",116.432
286,"rvm",61.4017
286,"fd0",0.0145143
286,"fv0",0.0993312
286,"gamma1",1.83894
286,"gammad",4.49956
286,"gammav",3.70486
286,"kb",1.84746
286,"kc",2.54041
286,"kd",0.448655
286,"kv",1.75797
286,"phi0",0.878686
286,"phi1",0.0006682
286,"theta0",0.0379213
286,"theta1",0.000221
286,"ub",10.4393
286,"uc",4.29411
286,"uv",6.0336
286,"ud",9.04106
287,"ib0",31.82055
287,"ic0",17.90763
287,"id0",0.1762173
287,"iv0",0.5776799
287,"pcm",0.593765
287,"pvm",0.153866
287,"ad",9391.23
287,"av",2545.48
287,"b0",0.526319
287,"cd",0.0750365
287,"cu",0.0140178
287,"rm",81.4689
287,"d1",0.154394
287,"du",120.878
287,"rvm",90.3934
287,"fd0",0.0073605
287,"fv0",0.12256
287,"gamma1",5.57303
287,"gammad",4.35835
287,"gammav",2.90022
287,"kb",2.52062
287,"kc",2.4267
287,"kd",0.384179
287,"kv",1.81889
287,"phi0",0.81754
287,"phi1",0.0010772
287,"theta0",0.172948
287,"theta1",7.57e-05
287,"ub",10.3778
287,"uc",6.66038
287,"uv",5.72412
287,"ud",3.96038
288,"ib0",41.2537
288,"ic0",16.04226
288,"id0",5.606227
288,"iv0",0.97111
288,"pcm",0.928738
288,"pvm",0.133335
288,"ad",7653.33
288,"av",4148.96
288,"b0",0.476681
288,"cd",0.0821234
288,"cu",0.0035178
288,"rm",62.4106
288,"d1",0.209439
288,"du",79.871
288,"rvm",93.3424
288,"fd0",0.0204176
288,"fv0",0.191273
288,"gamma1",2.72843
288,"gammad",5.09045
288,"gammav",2.19854
288,"kb",2.23097
288,"kc",2.25901
288,"kd",0.67371
288,"kv",2.25024
288,"phi0",0.593473
288,"phi1",0.0002013
288,"theta0",0.0940566
288,"theta1",8.65e-05
288,"ub",7.00161
288,"uc",8.44145
288,"uv",11.0946
288,"ud",8.88666
289,"ib0",33.51106
289,"ic0",20.75232
289,"id0",2.706783
289,"iv0",1.014472
289,"pcm",0.730332
289,"pvm",0.159016
289,"ad",8062.33
289,"av",2244.98
289,"b0",0.58059
289,"cd",0.0660104
289,"cu",0.0125723
289,"rm",69.9051
289,"d1",0.149284
289,"du",96.9719
289,"rvm",68.5192
289,"fd0",0.0035064
289,"fv0",0.429566
289,"gamma1",7.04195
289,"gammad",4.9034
289,"gammav",4.02027
289,"kb",2.72114
289,"kc",2.52409
289,"kd",0.507712
289,"kv",2.25431
289,"phi0",0.544798
289,"phi1",0.0001027
289,"theta0",0.122376
289,"theta1",5.98e-05
289,"ub",10.3688
289,"uc",4.0708
289,"uv",9.62514
289,"ud",14.3642
290,"ib0",33.22001
290,"ic0",18.62899
290,"id0",0.8107696
290,"iv0",1.198632
290,"pcm",0.994893
290,"pvm",0.179088
290,"ad",8577.99
290,"av",2225.73
290,"b0",0.550056
290,"cd",0.0671871
290,"cu",0.001627
290,"rm",60.5571
290,"d1",0.163901
290,"du",112.233
290,"rvm",81.4667
290,"fd0",0.011433
290,"fv0",0.240206
290,"gamma1",1.19989
290,"gammad",4.81986
290,"gammav",3.49935
290,"kb",2.36617
290,"kc",2.60854
290,"kd",0.506697
290,"kv",2.30097
290,"phi0",0.717311
290,"phi1",0.0007088
290,"theta0",0.0959209
290,"theta1",8.69e-05
290,"ub",5.27651
290,"uc",8.95211
290,"uv",27.6741
290,"ud",11.8568
291,"ib0",38.94435
291,"ic0",30.62314
291,"id0",1.159533
291,"iv0",1.638119
291,"pcm",0.858779
291,"pvm",0.218803
291,"ad",7884.04
291,"av",1809.07
291,"b0",0.822099
291,"cd",0.067592
291,"cu",0.0050606
291,"rm",63.6707
291,"d1",0.228911
291,"du",82.6526
291,"rvm",86.7368
291,"fd0",0.0138039
291,"fv0",0.146972
291,"gamma1",1.42005
291,"gammad",5.4457
291,"gammav",4.00322
291,"kb",3.14823
291,"kc",2.34919
291,"kd",0.457021
291,"kv",1.78992
291,"phi0",0.653146
291,"phi1",6.94e-05
291,"theta0",0.0617995
291,"theta1",3.41e-05
291,"ub",6.02109
291,"uc",1.96447
291,"uv",5.12464
291,"ud",15.5024
292,"ib0",19.68118
292,"ic0",23.03429
292,"id0",1.907217
292,"iv0",1.411165
292,"pcm",0.771051
292,"pvm",0.208758
292,"ad",7619.87
292,"av",3150.84
292,"b0",0.713967
292,"cd",0.0762724
292,"cu",0.0094907
292,"rm",70.0546
292,"d1",0.154757
292,"du",107.445
292,"rvm",73.4023
292,"fd0",0.0098273
292,"fv0",0.236636
292,"gamma1",4.41718
292,"gammad",4.87784
292,"gammav",2.51061
292,"kb",1.8694
292,"kc",2.43409
292,"kd",0.446293
292,"kv",1.99157
292,"phi0",0.839724
292,"phi1",0.0005463
292,"theta0",0.0915899
292,"theta1",3.66e-05
292,"ub",12.145
292,"uc",3.18783
292,"uv",6.05386
292,"ud",10.977
293,"ib0",66.50435
293,"ic0",16.23174
293,"id0",3.359351
293,"iv0",1.34567
293,"pcm",0.863355
293,"pvm",0.170824
293,"ad",8032.89
293,"av",3057.66
293,"b0",0.630503
293,"cd",0.0694688
293,"cu",0.0018497
293,"rm",63.6455
293,"d1",0.150838
293,"du",87.6069
293,"rvm",80.1613
293,"fd0",0.0369493
293,"fv0",0.306887
293,"gamma1",2.38894
293,"gammad",5.54573
293,"gammav",3.72297
293,"kb",2.39332
293,"kc",2.48682
293,"kd",0.460886
293,"kv",1.97291
293,"phi0",0.612729
293,"phi1",0.0019688
293,"theta0",0.0889049
293,"theta1",1.4e-05
293,"ub",3.73723
293,"uc",7.55145
293,"uv",7.24141
293,"ud",13.5925
294,"ib0",123.3474
294,"ic0",15.44166
294,"id0",0.5300529
294,"iv0",1.006462
294,"pcm",0.604024
294,"pvm",0.268974
294,"ad",8546.35
294,"av",1906.18
294,"b0",0.481505
294,"cd",0.090056
294,"cu",0.006706
294,"rm",69.4534
294,"d1",0.179071
294,"du",106.974
294,"rvm",82.7749
294,"fd0",0.0077359
294,"fv0",0.0527468
294,"gamma1",1.44654
294,"gammad",4.74318
294,"gammav",3.11648
294,"kb",2.06927
294,"kc",2.20876
294,"kd",0.406738
294,"kv",1.51744
294,"phi0",0.893538
294,"phi1",0.0006174
294,"theta0",0.0440216
294,"theta1",0.000183
294,"ub",7.01532
294,"uc",5.57235
294,"uv",3.63256
294,"ud",4.20768
295,"ib0",92.64
295,"ic0",27.19532
295,"id0",2.747687
295,"iv0",0.717132
295,"pcm",0.696072
295,"pvm",0.165383
295,"ad",8137.03
295,"av",2138.54
295,"b0",0.807573
295,"cd",0.0572527
295,"cu",0.0100387
295,"rm",71.9988
295,"d1",0.184844
295,"du",124.809
295,"rvm",64.3486
295,"fd0",0.0086086
295,"fv0",0.124292
295,"gamma1",2.20113
295,"gammad",4.79697
295,"gammav",3.98294
295,"kb",1.47
295,"kc",2.78336
295,"kd",0.551609
295,"kv",1.7621
295,"phi0",0.669198
295,"phi1",0.001598
295,"theta0",0.135385
295,"theta1",9.98e-05
295,"ub",2.72464
295,"uc",5.60766
295,"uv",7.56213
295,"ud",6.16071
296,"ib0",24.03733
296,"ic0",19.72147
296,"id0",3.007314
296,"iv0",1.789943
296,"pcm",0.781212
296,"pvm",0.220299
296,"ad",7091.05
296,"av",2844.47
296,"b0",0.664893
296,"cd",0.0725892
296,"cu",0.0015181
296,"rm",71.555
296,"d1",0.125403
296,"du",97.5445
296,"rvm",83.4326
296,"fd0",0.0114398
